"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Bibliotheque municipale Limoges","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=limoges&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Limoges","45.828971","1.267604","Explore","No post available","0"
"Huntington Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=The+Huntington+Library%2C+Art+Museum%2C+and+Botanical+Gardens&per_page=100 Digitized manuscripts","Unknown","no","Unknown","no","United States of America","San Marino","34.129045","-118.11452","Explore","No post available","0"
"New York Public Library, Manuscripts and Archives Division and the Spencer Collection","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=41&docsPerPage=30 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.758703","-73.978361","Explore","No post available","1"
"Erzabtei St. Peter","https://manuscripta.at/lib.php?libcode=AT7300 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Austria","Salzburg","47.797337","13.044527","Explore","No post available","0"
"Bibliotheque de Perigueux","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=97 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Perigueux","45.188728","0.723237","Explore","No post available","0"
"University of Glasgow","https://www.gla.ac.uk/myglasgow/archivespecialcollections/discover/ Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Scotland","Glasgow","55.873422","-4.28907","Explore","No post available","0"
"The Mesrop Mashtots Institute of Ancient Manuscripts (Matenadaran)","http://www.armenica.org/cgi-bin/armenica.cgi?778473216182650=2=l Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Armenia","Yerevan","40.19196","44.520811","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Albi&newSearch=1 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","France","Albi","43.92686","2.146343","Explore","No post available","0"
"New York Public Library,","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=42&docsPerPage=30 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.758703","-73.978361","Explore","No post available","1"
"University of Vermont, Bailey/Howe Library, Special Collections","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=38&docsPerPage=30 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","Burlington","44.475942","-73.197636","Explore","No post available","1"
